scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
ground_rot_45,scene_0262,24,196,0.12244897959183673,0.2616893947124481,0.2713547348976135,0.12429311871528625,-0.1417267918586731,0.5146996974945068,0.15454451739788055,0.36137986183166504
ground_rot_45,scene_0263,48,196,0.24489795918367346,0.2868521213531494,0.2878877818584442,0.1131616085767746,0.014479188248515129,0.5355427861213684,0.1512300670146942,0.4227488934993744
ground_rot_45,scene_0264,25,196,0.12755102040816327,0.19414275884628296,0.23685072362422943,0.1403341144323349,-0.09762753546237946,0.3763250410556793,-0.02707390859723091,0.3528001010417938
ground_rot_45,scene_0265,46,196,0.23469387755102042,0.2940583825111389,0.3227997124195099,0.13289429247379303,-0.024537425488233566,0.5234121680259705,0.1205710619688034,0.4782179296016693
ground_rot_45,scene_0266,19,196,0.09693877551020408,0.2544267177581787,0.2554112374782562,0.12693177163600922,-0.014868330210447311,0.5424479246139526,0.12129509449005127,0.3918563723564148
ground_rot_45,scene_0267,35,196,0.17857142857142858,0.09518436342477798,0.09112180024385452,0.1308421790599823,-0.1639665961265564,0.4319169521331787,-0.10281603038311005,0.24052417278289795
ground_rot_45,scene_0268,24,196,0.12244897959183673,0.21400806307792664,0.20886725187301636,0.12823623418807983,-0.0010606683790683746,0.5163322687149048,0.0514715313911438,0.37050503492355347
ground_rot_45,scene_0269,44,196,0.22448979591836735,0.21372127532958984,0.19749026000499725,0.11109918355941772,0.010105244815349579,0.45590829849243164,0.06824362277984619,0.38638657331466675
ground_rot_45,scene_0270,11,196,0.05612244897959184,0.2898992598056793,0.2858607769012451,0.15823766589164734,0.0582709014415741,0.565901517868042,0.06463640183210373,0.5164263844490051
ground_rot_45,scene_0271,11,196,0.05612244897959184,0.2517540156841278,0.24244815111160278,0.13273736834526062,0.08328339457511902,0.4688029885292053,0.10794275999069214,0.45314204692840576
ground_rot_45,scene_0272,55,196,0.28061224489795916,0.30710628628730774,0.2970040440559387,0.09274426847696304,0.078629270195961,0.5460027456283569,0.20794066786766052,0.4229496419429779
ground_rot_45,scene_0273,27,196,0.1377551020408163,0.40809622406959534,0.434457927942276,0.13933902978897095,0.040906429290771484,0.612058162689209,0.17761915922164917,0.5400782823562622
ground_rot_45,scene_0274,27,196,0.1377551020408163,0.46825000643730164,0.5101908445358276,0.14378266036510468,0.1901347041130066,0.7329941987991333,0.28639939427375793,0.6456165313720703
ground_rot_45,scene_0275,28,196,0.14285714285714285,0.4497321844100952,0.4830569922924042,0.1139998584985733,0.06583023071289062,0.6044846773147583,0.3016561269760132,0.5540899038314819
ground_rot_45,scene_0276,27,196,0.1377551020408163,0.39886385202407837,0.4294699728488922,0.1286003291606903,0.15005069971084595,0.5711339712142944,0.21056951582431793,0.5427225232124329
ground_rot_45,scene_0277,34,196,0.17346938775510204,0.2004321962594986,0.1816653460264206,0.16026946902275085,-0.07045532017946243,0.5681984424591064,0.004550411831587553,0.37535202503204346
ground_rot_45,scene_0278,23,196,0.11734693877551021,0.34776219725608826,0.3316652178764343,0.11419731378555298,0.0987849161028862,0.6131912469863892,0.2532420754432678,0.5024535655975342
ground_rot_45,scene_0279,29,196,0.14795918367346939,0.15899470448493958,0.2188720554113388,0.14525265991687775,-0.09504319727420807,0.3657667636871338,-0.07553011178970337,0.31048205494880676
ground_rot_45,scene_0280,34,196,0.17346938775510204,0.29331234097480774,0.29211390018463135,0.1142241507768631,0.009861613623797894,0.4882543385028839,0.14609043300151825,0.432943195104599
ground_rot_45,scene_0281,27,196,0.1377551020408163,0.16272896528244019,0.163841113448143,0.17180269956588745,-0.22758761048316956,0.4847072958946228,-0.04019965976476669,0.3919845521450043
ground_rot_45,scene_0282,17,196,0.08673469387755102,0.2916702926158905,0.2633993625640869,0.11436544358730316,0.1172846332192421,0.5433306694030762,0.16575497388839722,0.4296776056289673
ground_rot_45,scene_0283,34,196,0.17346938775510204,0.3799803555011749,0.3899797797203064,0.1445787250995636,0.08184649795293808,0.6722174286842346,0.22333361208438873,0.5826694965362549
ground_rot_45,scene_0284,15,196,0.07653061224489796,0.19889946281909943,0.23166638612747192,0.10604245960712433,-0.016678493469953537,0.3811294734477997,0.039137519896030426,0.2920570373535156
ground_rot_45,scene_0285,23,196,0.11734693877551021,0.34545111656188965,0.3389260768890381,0.09065604954957962,0.16706252098083496,0.530730128288269,0.22812001407146454,0.4514961242675781
ground_rot_45,scene_0286,21,196,0.10714285714285714,0.2318083494901657,0.25851985812187195,0.15197162330150604,-0.09327459335327148,0.46346515417099,-0.0014735683798789978,0.39503827691078186
ground_rot_45,scene_0287,27,196,0.1377551020408163,0.2810314893722534,0.2796768248081207,0.07340364903211594,0.13471175730228424,0.4293646812438965,0.19264419376850128,0.35349392890930176
ground_rot_45,scene_0288,50,196,0.25510204081632654,0.28130248188972473,0.28282836079597473,0.09355354309082031,0.06834200024604797,0.5034832954406738,0.16099333763122559,0.3955216407775879
ground_rot_45,scene_0289,33,196,0.1683673469387755,0.18316708505153656,0.18812468647956848,0.13793893158435822,-0.14588633179664612,0.39713937044143677,-0.00048699884791858494,0.36712759733200073
